"Feature Name","Tool / Module","Description of AI Action","User Triggered or Automatic","Estimated Compute Intensity"
"Logo Refresher","AITools.js + backend/routes/ai.py (logo_refresher, /ai/generate-images)","Generates refreshed logo concepts from an uploaded logo plus style-change instructions","User","High"
"Generative Fill / Image Expander","AITools.js + backend/routes/ai.py (generative_fill, /ai/generate-images)","Expands or fills missing image areas based on prompt guidance","User","High"
"Text to Image Creator","AITools.js + backend/routes/ai.py (text_to_image, /ai/generate-images)","Creates original images from a text prompt, style, ratio, and mood","User","High"
"Idea Brainstormer","AITools.js + backend/routes/ai.py (idea_brainstormer, /ai/generate)","Produces brainstorming outputs like names, slogans, campaign ideas, and concepts","User","Low"
"Sign Permit Research","AITools.js + backend/routes/ai.py (permit_research, /ai/generate)","Generates sign-permit guidance based on city, sign type, illumination, and zoning context","User","Medium"
"AI Business Assistant Chat","AIAssistant.js + backend/routes/ai.py (/ai/assistant)","Answers sign-shop business questions using general knowledge and tenant business data when available","User","Medium"
"Photo Enhancer Analyzer","AITools.js + backend/routes/ai.py (photo_enhancer, /ai/generate)","Analyzes an uploaded image for print readiness, enhancement needs, scaling, and production issues","User","Medium"
"Vectorization Analyzer","AITools.js + backend/routes/ai.py (image_vectorizer, /ai/generate)","Reviews an uploaded image for vectorization difficulty, cleanup needs, and production advice","User","Medium"
"Font Identifier","AITools.js + backend/routes/ai.py (font_identifier, /ai/generate)","Analyzes uploaded text artwork and suggests likely fonts and alternatives","User","Medium"
"AI Sign Designer — Design Brief","AITools.js + backend/routes/ai.py (ai_sign_designer, /ai/generate)","Produces written design rationale and sign concept guidance from business/sign inputs","User","Medium"
"AI Sign Designer — Concept Images","AITools.js + backend/routes/ai.py (ai_sign_designer, /ai/generate-images)","Generates visual sign concepts for a business and sign type","User","High"
"AI Banner Designer — Design Brief","AITools.js + backend/routes/ai.py (ai_banner_designer, /ai/generate)","Produces written banner concept guidance and layout rationale","User","Medium"
"AI Banner Designer — Banner Images","AITools.js + backend/routes/ai.py (ai_banner_designer, /ai/generate-images)","Generates banner design visuals from headline, purpose, size, and color inputs","User","High"
"Mockup Creator","AITools.js + backend/routes/ai.py (mockup_creator, /ai/generate-images)","Creates realistic mockup scenes for signs, wraps, and other products in real environments","User","High"
"Vehicle Wrap Mockup Generator","AITools.js + backend/routes/ai.py (vehicle_wrap_mockup, /ai/generate-images)","Generates vehicle wrap mockups on selected vehicle types and viewing angles","User","High"
"Logo Creator","AITools.js + backend/routes/ai.py (logo_creator, /ai/generate-images)","Generates original logo concepts from brand inputs","User","High"
"Branding Kit Generator","AITools.js + backend/routes/ai.py (branding_kit_generator, /ai/generate)","Creates written brand-system guidance including colors, typography, voice, and usage rules","User","Medium"
"Business Copywriter","AITools.js + backend/routes/ai.py (business_copywriter, /ai/generate)","Writes marketing/business copy such as about pages, ad copy, service text, and homepage copy","User","Medium"
"Document Composer","AITools.js + backend/routes/ai.py (document_composer, /ai/generate)","Drafts business documents such as proposals, payment letters, scopes of work, and project briefs","User","Medium"
"Pricing Intelligence Assistant","AITools.js + backend/routes/ai.py (pricing_intelligence, /ai/generate)","Analyzes pricing scenarios and recommends margin, markup, and positioning improvements","User","Medium"
"Blog Article Creator","AITools.js + backend/routes/ai.py (blog_creator, /ai/generate)","Generates full blog articles, titles, meta descriptions, CTAs, and image ideas","User","Medium"
"Completed Job Post Creator","AITools.js + backend/routes/ai.py (completed_job_post, /ai/generate)","Analyzes an uploaded completed-job photo and creates social captions, hashtags, and post tips","User","Medium"
"Social Media Job Post Creator","AITools.js + backend/routes/ai.py (social_job_post, /ai/generate)","Writes social posts from completed-job descriptions for selected platforms","User","Low"
"Social Media Pack Generator","AITools.js + backend/routes/ai.py (social_pack_generator, /ai/generate)","Produces a batch of social content ideas and post suggestions","User","Medium"
"Content Calendar Creator","AITools.js + backend/routes/ai.py (content_calendar, /ai/generate)","Builds a content calendar with post timing, themes, and ideas","User","Medium"
"Campaign Builder","AITools.js + backend/routes/ai.py (campaign_builder, /ai/generate)","Designs a marketing campaign strategy with audience, content, channels, and metrics","User","Medium"
"Race Number Designer — Design Brief","AITools.js + backend/routes/ai.py (race_number_designer, /ai/generate)","Produces written motorsports number-design specifications and production guidance","User","Medium"
"Race Number Designer — Number Images","AITools.js + backend/routes/ai.py (race_number_designer, /ai/generate-images)","Generates visual racing number concepts in selected style, effects, and colors","User","High"
"Driver Name Plate Generator — Design Brief","AITools.js + backend/routes/ai.py (driver_name_plate, /ai/generate)","Produces written layout/design guidance for driver name strips and plates","User","Medium"
"Driver Name Plate Generator — Plate Images","AITools.js + backend/routes/ai.py (driver_name_plate, /ai/generate-images)","Generates visual driver name plate concepts for race applications","User","High"
"Vehicle Wrap Cost Calculator","AITools.js + backend/routes/ai.py (wrap_cost_calculator, /ai/generate)","Creates AI-assisted wrap pricing breakdowns and recommended quote ranges","User","Medium"
"Race Team Branding Kit — Brand Brief","AITools.js + backend/routes/ai.py (race_team_branding, /ai/generate)","Produces written race-team branding guidance, sponsor layout, and merchandise direction","User","Medium"
